customer_id,first_name,last_name,date_of_birth,gender,email,phone,city,state,created_at
1,Amit,Verma,1967-05-09,Female,user1@mail.com,,Nagpur,KA,2023-10-04 06:02:32.280009
2,Pooja,Patil,1971-05-08,Female,user2@mail.com,9445688012,Mumbai,DL,2022-05-21 06:02:32.280017
3,Amit,Nair,2003-04-30,Female,user3@mail.com,9149723911,Pune,MH,2021-07-27 06:02:32.280024
4,Isha,Reddy,1967-05-09,Female,user4@mail.com,9800171433,Pune,DL,2020-11-20 06:02:32.280028
5,Suresh,Kulkarni,1971-05-08,Other,user5@mail.com,9558294535,Bangalore,MH,2021-11-06 06:02:32.280032
6,Sneha,Khan,2000-04-30,Other,user6@mail.com,9289104645,Mumbai,DL,2022-08-15 06:02:32.280037
7,Rohit,Patil,1988-05-03,Female,,9667535530,Pune,MH,2023-11-30 06:02:32.280041
8,Karan,Deshmukh,1990-05-03,Female,user8@mail.com,9688922049,Nagpur,DL,2024-07-22 06:02:32.280050
9,Rahul,Sharma,1975-05-07,Female,user9@mail.com,,Mumbai,KA,2023-06-11 06:02:32.280056
10,Deepak,Gupta,1970-05-08,Female,user10@mail.com,,Nagpur,DL,2024-06-18 06:02:32.280060
11,Vikas,Patel,1985-05-04,Female,user11@mail.com,9717272715,Mumbai,MH,2021-11-01 06:02:32.280065
12,Kavita,Verma,1972-05-07,Male,user12@mail.com,,Bangalore,MH,2022-12-10 06:02:32.280069
13,Kavita,Joshi,1979-05-06,Male,user13@mail.com,9355425933,Delhi,KA,2022-08-06 06:02:32.280073
14,Kavita,Gupta,1995-05-02,Male,user14@mail.com,9806373193,Bangalore,DL,2022-09-02 06:02:32.280077
15,Arjun,Yadav,1994-05-02,Male,user15@mail.com,9112243110,Mumbai,KA,2024-08-10 06:02:32.280081
16,Sneha,Sharma,1978-05-06,Male,user16@mail.com,9160675882,Nagpur,KA,2023-10-06 06:02:32.280085
17,Isha,Reddy,1981-05-05,Female,user17@mail.com,,Bangalore,KA,2024-01-06 06:02:32.280089
18,Karan,Khan,1987-05-04,Female,user18@mail.com,9787685937,Delhi,MH,2023-05-05 06:02:32.280093
19,Neha,Kulkarni,1977-05-06,Other,user19@mail.com,9874118475,Delhi,KA,2021-09-12 06:02:32.280098
20,Karan,Khan,2002-04-30,Female,user20@mail.com,9964379372,Pune,DL,2026-03-14 06:02:32.280102
21,Pooja,Reddy,2004-04-29,Other,user21@mail.com,9243696451,Nagpur,KA,2025-02-10 06:02:32.280105
22,Suresh,Yadav,2007-04-29,Other,user22@mail.com,9822818914,Bangalore,KA,2025-11-18 06:02:32.280109
23,Neha,Pawar,2001-04-30,Other,user23@mail.com,9392309957,Mumbai,KA,2024-04-10 06:02:32.280113
24,Karan,Gupta,1980-05-05,Other,user24@mail.com,9329564418,Delhi,KA,2024-11-24 06:02:32.280117
25,Isha,Khan,1995-05-02,Female,user25@mail.com,9324073969,Mumbai,MH,2021-09-03 06:02:32.280121
26,Neha,Reddy,2000-04-30,Male,user26@mail.com,9353618129,Delhi,MH,2021-01-13 06:02:32.280125
27,Deepak,Khan,1997-05-01,Female,user27@mail.com,9912410574,Nagpur,KA,2022-12-31 06:02:32.280129
28,Neha,Verma,1976-05-06,Other,,9593511805,Delhi,KA,2025-09-03 06:02:32.280132
29,Meera,Singh,1993-05-02,Male,user29@mail.com,9156797160,Pune,DL,2020-12-17 06:02:32.280136
30,Meera,Reddy,1998-05-01,Other,user30@mail.com,9124393734,Nagpur,KA,2022-08-06 06:02:32.280140
31,Isha,Reddy,1971-05-08,Other,user31@mail.com,9102478152,Bangalore,KA,2021-06-11 06:02:32.280144
32,Amit,Deshmukh,1970-05-08,Female,,9767085960,Bangalore,MH,2025-07-06 06:02:32.280147
33,Vikas,Khan,1992-05-02,Other,user33@mail.com,9422436406,Nagpur,MH,2023-05-12 06:02:32.280152
34,Priya,Sharma,1992-05-02,Other,user34@mail.com,9679733581,Nagpur,DL,2022-03-01 06:02:32.280155
35,Suresh,Gupta,1985-05-04,Female,user35@mail.com,,Bangalore,MH,2024-02-12 06:02:32.280159
36,Arjun,Nair,2002-04-30,Male,user36@mail.com,9139103251,Pune,MH,2021-12-07 06:02:32.280163
37,Kavita,Deshmukh,1978-05-06,Female,user37@mail.com,9434254821,Mumbai,KA,2021-04-30 06:02:32.280167
38,Amit,Reddy,1968-05-08,Other,user38@mail.com,9542125179,Delhi,MH,2024-09-28 06:02:32.280171
39,Pooja,Patel,1995-05-02,Other,user39@mail.com,9771656777,Mumbai,KA,2025-04-04 06:02:32.280175
40,Priya,Sharma,1985-05-04,Other,user40@mail.com,,Pune,KA,2025-09-23 06:02:32.280178
41,Priya,Joshi,1982-05-05,Male,user41@mail.com,9281156400,Nagpur,DL,2023-08-08 06:02:32.280182
42,Isha,Yadav,1967-05-09,Male,user42@mail.com,9718249474,Bangalore,DL,2023-02-17 06:02:32.280186
43,Rahul,Patel,1997-05-01,Female,user43@mail.com,9947625836,Delhi,KA,2020-11-11 06:02:32.280190
